Week,Firm,Price,TrendScore,MarketShare,PredictedQuantity,Revenue,Profit,ConversionRate,Scenario
1,Firm_A,10,0.0,0.3333333333333333,500.0,5000.0,2500.0,0.3333333333333333,Baseline
1,Firm_B,10,0.0,0.3333333333333333,500.0,5000.0,2500.0,0.3333333333333333,Baseline
1,Firm_C,10,0.0,0.3333333333333333,500.0,5000.0,2500.0,0.3333333333333333,Baseline
2,Firm_A,10,0.015755990868758563,0.3333333333333333,502.6259984781264,5026.259984781264,2513.129992390632,0.3333333333333333,Baseline
2,Firm_B,10,0.015755990868758563,0.3333333333333333,502.6259984781264,5026.259984781264,2513.129992390632,0.3333333333333333,Baseline
2,Firm_C,10,0.015755990868758563,0.3333333333333333,502.6259984781264,5026.259984781264,2513.129992390632,0.3333333333333333,Baseline
3,Firm_A,10,0.2431959497505689,0.04527850074362903,73.4235251112579,734.235251112579,367.1176255562895,0.04527850074362903,Baseline
3,Firm_B,10,0.2431959497505689,0.04527850074362903,73.4235251112579,734.235251112579,367.1176255562895,0.04527850074362903,Baseline
3,Firm_C,7,0.2431959497505689,0.909442998512742,1474.7509246527688,10323.256472569381,2949.5018493055377,0.909442998512742,Baseline
4,Firm_A,10,0.4839526031298851,0.3333333333333333,580.6587671883142,5806.587671883142,2903.293835941571,0.3333333333333333,Baseline
4,Firm_B,10,0.4839526031298851,0.3333333333333333,580.6587671883142,5806.587671883142,2903.293835941571,0.3333333333333333,Baseline
4,Firm_C,10,0.4839526031298851,0.3333333333333333,580.6587671883142,5806.587671883142,2903.293835941571,0.3333333333333333,Baseline
5,Firm_A,10,0.3325275619515127,0.10650697891920066,177.46872139421248,1774.6872139421248,887.3436069710624,0.10650697891920066,Baseline
5,Firm_B,8,0.3325275619515127,0.7869860421615986,1311.3263381873314,10490.610705498651,3933.9790145619945,0.7869860421615986,Baseline
5,Firm_C,10,0.3325275619515127,0.10650697891920066,177.46872139421248,1774.6872139421248,887.3436069710624,0.10650697891920066,Baseline
6,Firm_A,10,0.44288223945833893,0.03511902695933972,60.455337092684665,604.5533709268467,302.27668546342335,0.03511902695933972,Baseline
6,Firm_B,8,0.44288223945833893,0.2594964603424191,446.70787725760994,3573.6630180608795,1340.1236317728299,0.2594964603424191,Baseline
6,Firm_C,7,0.44288223945833893,0.7053845126982411,1214.2779053788747,8499.945337652123,2428.5558107577494,0.7053845126982411,Baseline
7,Firm_A,10,0.8233791832505681,0.10650697891920073,203.6082830352896,2036.0828303528958,1018.0414151764479,0.10650697891920073,Baseline
7,Firm_B,8,0.8233791832505681,0.7869860421615984,1504.4730255547047,12035.784204437638,4513.419076664114,0.7869860421615984,Baseline
